DL_No;LatGr;LatMin;Latsek;LatHemisph;LonGr;LonMin;Lonsek;LonHemisph;dec_lat;dec_lon;DNAconcinwtsmpl_ng_uL;elute_vol_uL;ddH2O_add_per_elute;tot_vol_elute;dec_lat_region;dec_lon_region;rg.wtsmplloc;sampling_date;Filt.vol;Area_wt_coll_loc;wtsmplloc2
DL2018002;55;18;48.456;N;10;47;16.2636;E;55.31346;10.787851;0;0;0;0;55.25778245;10.05453676;Fyn;04/05/2018;300;Nyborg;Nyborg_Vold
DL2018003;55;18;48.456;N;10;47;16.2636;E;55.31346;10.787851;0;0;0;0;55.25778245;10.05453676;Fyn;04/05/2018;350;Nyborg;Nyborg_Vold
DL2018004;55;18;48.456;N;10;47;16.2636;E;55.31346;10.787851;0;0;0;0;55.25778245;10.05453676;Fyn;04/05/2018;350;Nyborg;Nyborg_Vold
DL2018005;54;46;28.4268;N;11;52;37.0344;E;54.774563;11.876954;878;0;0;0;54.774563;11.876954;Moen_Loll_Falst;15/05/2018;140;NykoebingF;Katedralskolens_Dam
DL2018006;54;46;28.4268;N;11;52;37.0344;E;54.774563;11.876954;0;0;0;0;54.774563;11.876954;Moen_Loll_Falst;15/05/2018;132;NykoebingF;Katedralskolens_Dam
DL2018007;55;19;13.0404;N;15;11;16.692;E;55.320289;15.18797;127;0;0;0;55.320289;15.18797;Bornholm;12/05/2018;400;Bornholm;Pumpen_Christians_oe
DL2018008;55;19;13.0404;N;15;11;16.692;E;55.320289;15.18797;0;0;0;0;55.320289;15.18797;Bornholm;12/05/2018;400;Bornholm;Pumpen_Christians_oe
DL2018009;55;44;49.77672;N;12;32;5.2728;E;55.7471602;12.534798;0;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;150;Gentofte;Gentofte_Soe_Soe_i_Gentofte
Dl2018010;55;44;49.776;N;12;32;5.2728;E;55.74716;12.534798;0;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;150;Gentofte;Gentofte_Soe_Soe_i_Gentofte
DL2018011;55;44;49.29;N;12;32;7.2492;E;55.747025;12.535347;522;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;560;Gentofte;Gentofte_Soe_Soe_i_Gentofte
